amicus;cutoffs_ALL;cutoffs_BREYER;cutoffs_GINSBURG;cutoffs_KENNEDY;cutoffs_ROBERTS;cutoffs_SCALIA;BREYER_res_questions;GINSBURG_res_questions;KENNEDY_res_questions;ROBERTS_res_questions;SCALIA_res_questions;BREYER_pet_questions;GINSBURG_pet_questions;KENNEDY_pet_questions;ROBERTS_pet_questions;SCALIA_pet_questions;BREYER_question_diff;GINSBURG_question_diff;KENNEDY_question_diff;ROBERTS_question_diff;SCALIA_question_diff;BREYER_cc_ratio_pet;GINSBURG_cc_ratio_pet;KENNEDY_cc_ratio_pet;ROBERTS_cc_ratio_pet;SCALIA_cc_ratio_pet;BREYER_cc_ratio_res;GINSBURG_cc_ratio_res;KENNEDY_cc_ratio_res;ROBERTS_cc_ratio_res;SCALIA_cc_ratio_res;BREYER_cc_ratio_diff;GINSBURG_cc_ratio_diff;KENNEDY_cc_ratio_diff;ROBERTS_cc_ratio_diff;SCALIA_cc_ratio_diff;BREYER_qc_ratio_diff;GINSBURG_qc_ratio_diff;KENNEDY_qc_ratio_diff;ROBERTS_qc_ratio_diff;SCALIA_qc_ratio_diff;BREYER_wc_ratio_diff;GINSBURG_wc_ratio_diff;KENNEDY_wc_ratio_diff;ROBERTS_wc_ratio_diff;SCALIA_wc_ratio_diff;caseOrigin_circuit;adminAction;adminActionState;lcDispositionDirection;lcDisposition;issueArea;certReason;jurisdiction;winner
1;-5;1,000000000;-1,000000000;0,000000000;0,333333333;0,052631579;0,5000000000000000;0,0000000000000000;0,2000000000000000;0,2162162162162162;0,2142857142857143;0,0000000000000000;0,6000000000000000;0,4545454545454546;0,4285714285714285;0,2692307692307692;-1;1;1;1;0;0,0400000000000000;0,9523809523809524;0,5238095238095238;0,3620689655172414;0,4814814814814815;0,9600000000000000;0,0476190476190476;0,4761904761904762;0,6379310344827587;0,5185185185185185;-1;1;0;-1;0;-1;1;1;0;0;-1;1;0;-1;0;6;1;0;2,0;2,0;8;11;1;1
-1;-3;0,214285714;-0,428571429;0,555555556;-0,250000000;-0,818181818;0,2750000000000000;0,6153846153846154;0,5000000000000000;0,3888888888888889;0,5000000000000000;0,2244897959183673;0,2380952380952381;0,2000000000000000;0,2500000000000000;0,4545454545454546;0;-1;-1;0;0;0,3798449612403101;0,6176470588235294;0,4761904761904762;0,5714285714285714;0,9428571428571428;0,6201550387596899;0,3823529411764706;0,5238095238095238;0,4285714285714285;0,0571428571428571;-1;1;0;0;1;-1;-1;-1;0;1;-1;1;1;0;1;0;0;0;1,0;2,0;1;12;1;0
1;4;1,000000000;-0,333333333;-0,600000000;0,714285714;-0,818181818;0,1578947368421052;0,3333333333333333;0,1428571428571428;0,3000000000000000;0,0000000000000000;0,0000000000000000;0,2173913043478261;0,2105263157894737;0,0000000000000000;0,2307692307692308;0;0;0;-1;1;0,0172413793103448;0,7931034482758621;0,7307692307692307;0,2105263157894737;0,8965517241379310;0,9827586206896552;0,2068965517241379;0,2692307692307692;0,7894736842105263;0,1034482758620690;-1;1;1;-1;1;-1;1;1;-1;1;-1;1;1;-1;1;0;0;0;2,0;2,0;1;6;1;0
0;-2;-0,200000000;-0,666666667;0,333333333;0,333333333;0,280000000;0,2352941176470588;0,3076923076923077;0,1250000000000000;0,2068965517241379;0,1621621621621622;0,0500000000000000;0,2647058823529412;0,3076923076923077;0,3157894736842105;0,0000000000000000;0;0;0;0;0;0,2816901408450704;0,7234042553191490;0,6190476190476191;0,3958333333333333;0,2600000000000000;0,7183098591549296;0,2765957446808511;0,3809523809523810;0,6041666666666666;0,7400000000000000;-1;1;1;-1;-1;-1;1;1;0;-1;-1;1;0;0;-1;10;0;0;2,0;2,0;3;2;1;0
0;7;0,125000000;1,000000000;1,000000000;0,333333333;-0,230769231;0,1463414634146341;0,0833333333333333;0,1666666666666667;0,5000000000000000;0,2777777777777778;0,1929824561403509;0,1111111111111111;0,1250000000000000;0,4166666666666667;0,2051282051282051;0;0;0;0;0;0,5816326530612245;0,2727272727272727;0,5714285714285714;0,7500000000000000;0,6842105263157895;0,4183673469387755;0,7272727272727273;0,4285714285714285;0,2500000000000000;0,3157894736842105;0;-1;0;1;1;1;-1;0;1;1;0;-1;0;1;0;9;0;0;1,0;2,0;9;11;1;1
0;-4;-0,714285714;-0,454545455;0,333333333;-0,200000000;1,000000000;0,0909090909090909;0,1111111111111111;0,5000000000000000;0,1111111111111111;0,2666666666666667;0,2800000000000000;0,2333333333333334;0,1666666666666667;0,0000000000000000;0,0000000000000000;0;0;-1;0;-1;0,6944444444444444;0,7692307692307693;0,6666666666666666;0,5714285714285714;0,0625000000000000;0,3055555555555556;0,2307692307692308;0,3333333333333333;0,4285714285714285;0,9375000000000000;1;1;1;0;-1;1;1;0;-1;-1;1;1;1;1;-1;10;0;0;1,0;2,0;6;2;1;0
1;4;0,000000000;0,000000000;0,600000000;0,428571429;0,500000000;0,2222222222222222;0,1818181818181819;0,0000000000000000;0,2500000000000000;0,1666666666666667;0,4782608695652174;0,1388888888888889;0,5555555555555556;0,2857142857142857;0,2857142857142857;1;0;1;0;0;0,7187500000000000;0,7659574468085106;0,4736842105263158;0,2592592592592592;0,5384615384615384;0,2812500000000000;0,2340425531914894;0,5263157894736842;0,7407407407407407;0,4615384615384616;1;1;0;-1;0;1;1;1;-1;1;1;1;0;-1;0;1;0;0;2,0;2,0;5;11;1;1
0;58;0,714285714;0,400000000;0,034482759;0,846153846;0,785714286;0,0857142857142857;0,1764705882352941;0,1818181818181819;0,1304347826086956;0,2142857142857143;0,2727272727272727;0,2352941176470588;0,1666666666666667;0,0000000000000000;0,3571428571428572;0;0;0;0;0;0,2391304347826087;0,5000000000000000;0,4500000000000000;0,1153846153846154;0,2500000000000000;0,7608695652173914;0,5000000000000000;0,5500000000000000;0,8846153846153846;0,7500000000000000;-1;0;0;-1;-1;0;0;0;-1;-1;-1;0;0;-1;0;3;0;0;2,0;4,0;3;12;1;1
0;7;0,200000000;0,000000000;1,000000000;0,500000000;0,333333333;0,0769230769230769;0,2500000000000000;0,0714285714285714;0,2857142857142857;0,2916666666666667;0,1875000000000000;0,5000000000000000;0,1666666666666667;0,1666666666666667;0,2727272727272727;0;1;0;0;0;0,3809523809523810;0,2000000000000000;0,3000000000000000;0,3000000000000000;0,1864406779661017;0,6190476190476191;0,8000000000000000;0,7000000000000000;0,7000000000000000;0,8135593220338984;-1;-1;-1;-1;-1;0;-1;0;-1;-1;0;-1;-1;-1;-1;0;0;0;2,0;4,0;1;2;1;1
1;-16;1,000000000;0,200000000;-1,000000000;-1,000000000;-0,500000000;0,6000000000000000;0,2352941176470588;0,0000000000000000;0,5625000000000000;0,3076923076923077;0,0000000000000000;0,3076923076923077;0,5000000000000000;0,2820512820512820;0,1666666666666667;-1;0;1;-1;0;0,1666666666666667;0,4333333333333333;0,6666666666666666;0,7090909090909091;0,6486486486486487;0,8333333333333334;0,5666666666666667;0,3333333333333333;0,2909090909090909;0,3513513513513514;-1;0;1;1;1;-1;0;1;0;0;-1;-1;1;1;1;4;0;0;2,0;5,0;9;2;1;1
