"";"regiao";"sigla_uf";"id_municipio";"municipio";"votos_validos_2t_2018";"capital";"votos_bolsonaro_2t_2018";"aptos_2018";"amazonia_legal";"semiarido";"pib_total"
"1";"Norte";"RO";1100080;"Costa Marques";5649;0;3320;8828;1;0;212878,868
"2";"Norte";"RO";1100106;"Guajará-Mirim";18682;0;12838;28509;1;0;775194,509
"3";"Norte";"RO";1100205;"Porto Velho";240992;1;166145;334529;1;0;16974627,246
"4";"Norte";"RO";1100338;"Nova Mamoré";11429;0;8634;17004;1;0;463143,777
"5";"Norte";"RO";1100452;"Buritis";15099;0;11682;23065;1;0;649984,96
"6";"Norte";"RO";1100700;"Campo Novo de Rondônia";5384;0;3595;7980;1;0;266520,108
"7";"Norte";"RO";1100809;"Candeias do Jamari";11611;0;7104;17683;1;0;491349,743
"8";"Norte";"RO";1100940;"Cujubim";6750;0;4975;10694;1;0;324734,77
"9";"Norte";"RO";1101104;"Itapuã do Oeste";4090;0;2556;6520;1;0;158292,644
"10";"Norte";"RO";1101492;"São Francisco do Guaporé";7639;0;5134;11085;1;0;335647,881
"11";"Norte";"AC";1200013;"Acrelândia";6465;0;5165;8809;1;0;229643,528
"12";"Norte";"AC";1200054;"Assis Brasil";3993;0;2333;5726;1;0;91742,513
"13";"Norte";"AC";1200104;"Brasiléia";11919;0;8711;16041;1;0;388018,337
"14";"Norte";"AC";1200138;"Bujari";5950;0;4676;8683;1;0;158301,257
"15";"Norte";"AC";1200179;"Capixaba";4981;0;3895;6832;1;0;170990,13
"16";"Norte";"AC";1200203;"Cruzeiro do Sul";38965;0;31147;54600;1;0;1287867,305
"17";"Norte";"AC";1200252;"Epitaciolândia";8310;0;6284;10770;1;0;435952,448
"18";"Norte";"AC";1200302;"Feijó";11552;0;6296;20565;1;0;350879,778
"19";"Norte";"AC";1200328;"Jordão";2790;0;1375;4793;1;0;78628,093
"20";"Norte";"AC";1200336;"Mâncio Lima";7559;0;5225;12429;1;0;194421,094
"21";"Norte";"AC";1200344;"Manoel Urbano";3895;0;2274;6793;1;0;135401,466
"22";"Norte";"AC";1200351;"Marechal Thaumaturgo";4999;0;2548;9530;1;0;195343,534
"23";"Norte";"AC";1200385;"Plácido de Castro";8368;0;6531;11461;1;0;241230,592
"24";"Norte";"AC";1200393;"Porto Walter";3105;0;1897;6075;1;0;112710,947
"25";"Norte";"AC";1200401;"Rio Branco";191201;1;158264;255548;1;0;8153153,066
"26";"Norte";"AC";1200427;"Rodrigues Alves";6444;0;4762;11001;1;0;185008,451
"27";"Norte";"AC";1200435;"Santa Rosa do Purus";1822;0;847;3316;1;0;71271,205
"28";"Norte";"AC";1200450;"Senador Guiomard";12699;0;10247;17105;1;0;359782,439
"29";"Norte";"AC";1200500;"Sena Madureira";15762;0;12051;28328;1;0;500511,854
"30";"Norte";"AC";1200609;"Tarauacá";13559;0;8292;25576;1;0;470854,008
"31";"Norte";"AC";1200708;"Xapuri";8329;0;4929;11400;1;0;231302,176
"32";"Norte";"AC";1200807;"Porto Acre";9209;0;7150;12299;1;0;229926,373
"33";"Norte";"AM";1300060;"Amaturá";4246;0;846;5910;1;0;80804,563
"34";"Norte";"AM";1300144;"Apuí";6264;0;3218;10674;1;0;193492,492
"35";"Norte";"AM";1300201;"Atalaia do Norte";4871;0;851;7930;1;0;141204,945
"36";"Norte";"AM";1300409;"Barcelos";5521;0;1913;10506;1;0;160671,848
"37";"Norte";"AM";1300607;"Benjamin Constant";14301;0;2026;20448;1;0;280085,703
"38";"Norte";"AM";1300706;"Boca do Acre";12911;0;6129;20977;1;0;365382,734
"39";"Norte";"AM";1300805;"Borba";12965;0;2238;20306;1;0;296370,6
"40";"Norte";"AM";1300904;"Canutama";5050;0;1691;8375;1;0;103082,448
"41";"Norte";"AM";1301001;"Carauari";11987;0;2370;19350;1;0;286003,058
"42";"Norte";"AM";1301407;"Eirunepé";11973;0;3137;20769;1;0;434005,992
"43";"Norte";"AM";1301506;"Envira";6275;0;1405;11453;1;0;148765,618
"44";"Norte";"AM";1301605;"Fonte Boa";9482;0;1645;14879;1;0;167593,138
"45";"Norte";"AM";1301654;"Guajará";5618;0;2836;9532;1;0;115994,51
"46";"Norte";"AM";1301704;"Humaitá";18007;0;7609;28568;1;0;556079,079
"47";"Norte";"AM";1301803;"Ipixuna";6367;0;1312;10772;1;0;139915,804
"48";"Norte";"AM";1301951;"Itamarati";4188;0;691;6789;1;0;93869,193
"49";"Norte";"AM";1302108;"Japurá";2560;0;648;4455;1;0;61997,462
