uf;cod_mun_ibge;nome_municipio;partido;coligacao;n_partidos;espvida;mort1;e_anosestudo;t_analf25m;ppob;rdpc;agua_esgoto;i_escolaridade;p_super;t_des18m;gini
AC;1200401;Rio Branco;PMDB-PSDB-PFL;Coligado;4;68,43;25,45;8,71;18,62;50,89;527,43;29,90;0,425;7,26;13,48;0,61
AC;1200138;Bujari;PMDB-PSDB-PFL;Coligado;3;67,39;28,33;6,58;48,37;79,68;238,86;28,34;0,165;2,02;3,95;0,64
AC;1200807;Porto Acre;PMDB-PSDB-PFL;Coligado;2;66,07;32,20;6,96;37,73;74,50;217,70;42,23;0,173;1,23;14,94;0,54
AL;2705903;Olho d'Água Grande;Outros;Coligado;3;64,21;46,61;4,98;62,15;91,77;98,98;23,72;0,098;0,00;0,85;0,66
AL;2706448;Paripueira;Outros;Coligado;5;63,52;49,30;6,60;39,73;87,35;168,82;14,90;0,192;1,03;39,90;0,55
AL;2705804;Olho d'Água do Casado;Outros;Coligado;3;64,01;47,40;5,58;57,64;78,82;170,87;49,73;0,077;0,00;10,96;0,60
AL;2705002;Mata Grande;Outros;Coligado;3;64,21;46,61;5,10;57,76;89,37;122,38;25,60;0,116;0,50;2,76;0,66
AL;2700409;Atalaia;Outros;Coligado;5;67,08;36,38;5,21;52,25;87,20;152,85;27,71;0,153;0,86;20,55;0,54
AL;2706505;Passo de Camaragibe;Outros;Coligado;4;62,07;55,20;5,46;57,23;92,16;133,65;17,49;0,121;0,17;10,33;0,60
AL;2700805;Belém;Outros;Coligado;5;64,28;46,35;6,31;50,80;85,61;144,86;45,32;0,155;1,91;6,66;0,58
AL;2706422;Pariconha;Outros;Coligado;3;62,07;55,23;5,53;52,73;89,51;101,98;37,21;0,072;0,29;4,28;0,64
AL;2702553;Estrela de Alagoas;PMDB-PSDB-PFL;Coligado;3;61,60;57,22;6,00;60,36;90,58;99,88;33,76;0,067;0,19;5,01;0,61
AL;2701704;Capela;PMDB-PSDB-PFL;Coligado;2;62,48;53,51;5,05;54,77;86,20;143,42;7,45;0,167;1,81;22,22;0,57
AL;2704401;Major Isidoro;PMDB-PSDB-PFL;Coligado;4;63,06;51,11;4,87;55,65;89,19;124,09;33,92;0,113;1,12;9,77;0,55
AL;2701902;Chã Preta;PMDB-PSDB-PFL;Coligado;2;61,48;57,74;5,86;52,94;90,43;121,46;4,67;0,136;0,95;12,59;0,57
AL;2705200;Messias;PMDB-PSDB-PFL;Coligado;2;63,78;48,26;5,47;46,50;86,64;152,81;10,03;0,135;0,91;32,39;0,52
AL;2704203;Limoeiro de Anadia;PMDB-PSDB-PFL;Coligado;2;63,20;50,57;5,51;58,85;90,30;125,03;64,45;0,100;0,18;9,36;0,57
AL;2707602;Quebrangulo;PMDB-PSDB-PFL;Não-coligado;2;63,56;49,14;5,00;55,20;89,22;151,14;20,17;0,104;1,20;9,33;0,63
AL;2703007;Ibateguara;PMDB-PSDB-PFL;Coligado;3;64,40;45,88;4,88;59,78;86,81;142,25;25,02;0,085;0,19;18,96;0,55
AL;2705309;Minador do Negrão;PMDB-PSDB-PFL;Coligado;2;65,30;42,57;5,67;58,40;89,01;128,64;38,14;0,120;0,45;14,60;0,48
AL;2704005;Junqueiro;PMDB-PSDB-PFL;Coligado;2;65,43;42,10;6,99;52,43;88,83;160,89;37,84;0,133;0,41;13,43;0,63
AL;2709152;Teotônio Vilela;PMDB-PSDB-PFL;Coligado;3;59,14;68,41;7,18;52,66;87,17;166,55;32,45;0,133;0,53;15,97;0,62
AL;2707701;Rio Largo;PMDB-PSDB-PFL;Coligado;4;67,76;34,16;7,06;31,76;73,28;232,77;14,97;0,294;2,81;26,82;0,51
AL;2702801;Flexeiras;PMDB-PSDB-PFL;Coligado;2;61,48;57,73;5,54;56,12;90,56;131,99;6,30;0,120;0,17;17,58;0,50
AL;2708105;Santana do Mundaú;Outros;Coligado;3;63,79;48,25;4,92;60,29;88,36;142,69;13,20;0,111;0,27;4,49;0,57
AL;2708808;São Sebastião;Outros;Coligado;3;62,80;52,20;5,75;59,91;88,66;139,48;50,53;0,085;0,40;8,61;0,63
AL;2706208;Palestina;PMDB-PSDB-PFL;Coligado;2;61,61;57,19;6,75;49,60;91,73;109,76;20,73;0,203;0,00;4,76;0,54
AL;2705101;Matriz de Camaragibe;PMDB-PSDB-PFL;Coligado;3;63,06;51,11;5,45;50,37;89,94;131,88;9,24;0,158;0,55;18,55;0,48
AL;2707503;Porto Real do Colégio;PMDB-PSDB-PFL;Coligado;2;62,07;55,23;5,07;52,95;88,95;120,15;18,93;0,132;0,46;9,50;0,65
AL;2701803;Carneiros;PMDB-PSDB-PFL;Coligado;2;59,52;66,63;6,44;49,10;86,35;117,40;45,95;0,101;0,00;3,35;0,52
AL;2701357;Campestre;PMDB-PSDB-PFL;Coligado;4;61,07;59,52;6,37;49,10;82,87;158,19;14,57;0,169;2,13;17,18;0,49
AL;2702306;Coruripe;PMDB-PSDB-PFL;Coligado;2;63,28;50,26;5,99;43,46;82,42;197,45;13,99;0,187;1,57;14,49;0,56
AL;2704708;Marechal Deodoro;PMDB-PSDB-PFL;Não-coligado;5;67,02;36,56;6,60;40,66;81,60;224,09;4,65;0,237;2,21;16,33;0,59
AL;2709301;União dos Palmares;PMDB-PSDB-PFL;Coligado;3;64,28;46,37;5,60;52,43;82,73;183,75;6,24;0,180;1,11;14,51;0,56
AL;2700607;Barra de São Miguel;PMDB-PSDB-PFL;Coligado;2;65,97;40,18;6,22;44,87;78,48;218,00;4,37;0,171;1,25;11,60;0,51
AL;2700102;Água Branca;PMDB-PSDB-PFL;Coligado;4;65,47;41,94;5,71;48,82;85,29;138,86;22,40;0,129;0,41;9,31;0,66
AL;2708501;São Luís do Quitunde;PMDB-PSDB-PFL;Coligado;5;66,03;39,95;4,80;54,50;88,26;141,55;16,00;0,143;0,62;17,52;0,50
AL;2704104;Lagoa da Canoa;PMDB-PSDB-PFL;Coligado;2;63,04;51,22;6,78;55,99;91,57;119,75;51,56;0,128;0,14;14,81;0,50
AL;2702405;Delmiro Gouveia;PMDB-PSDB-PFL;Coligado;4;64,44;45,73;6,43;37,73;76,82;226,71;14,35;0,185;1,58;16,32;0,58
AL;2704609;Maravilha;PMDB-PSDB-PFL;Coligado;2;64,82;44,34;5,32;55,50;94,19;85,80;27,38;0,105;0,41;8,09;0,59
AL;2708600;São Miguel dos Campos;PMDB-PSDB-PFL;Coligado;2;68,08;33,14;7,46;38,56;75,91;266,49;4,49;0,271;2,06;21,62;0,58
AL;2705507;Murici;PMDB-PSDB-PFL;Coligado;3;61,91;55,88;5,78;51,17;88,33;155,80;10,72;0,154;1,79;17,22;0,53
AL;2702702;Feliz Deserto;PMDB-PSDB-PFL;Coligado;2;66,19;39,42;6,43;50,38;89,19;120,65;27,34;0,149;0,48;9,62;0,43
AL;2706901;Pilar;Outros;Coligado;2;63,06;51,11;5,88;44,03;81,94;185,83;13,02;0,185;1,81;19,30;0,53
AL;2701407;Campo Alegre;Outros;Coligado;3;64,85;44,22;6,46;53,12;89,87;147,16;36,38;0,135;0,34;20,22;0,53
AL;2700508;Barra de Santo Antônio;Outros;Coligado;3;65,01;43,62;5,59;49,19;84,63;140,20;11,88;0,141;0,73;13,95;0,48
AL;2707404;Porto de Pedras;Outros;Coligado;3;63,06;51,11;4,98;59,49;92,33;99,56;11,55;0,107;0,84;17,41;0,61
AL;2702108;Colônia Leopoldina;Outros;Coligado;2;60,89;60,31;6,11;52,22;83,78;156,88;6,72;0,144;1,83;13,04;0,53
AL;2702009;Coité do Nóia;Outros;Coligado;2;63,20;50,57;6,07;58,19;90,43;123,33;62,15;0,098;0,41;6,65;0,57
