tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Danilo Forte;CE;UNIÃO;36673,68;23277,07;26988,00;138979,30;27015,42;3505,15;2543,79;4034,22;16998,59;10500,0;162,01;107006,19;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Norma Ayub;ES;PP;97311,26;31922,24;0,00;5050,00;0,00;6150,90;1874,30;0,00;1722,85;0,0;0,00;5626,97;81395,94;43997,34;0,00;0,00;0,00;0,00;0;0
Fausto Pinato;SP;PP;8407,40;45292,44;0,00;59200,00;0,00;11028,85;3282,14;0,00;5753,98;0,0;11932,50;0,00;88138,00;87065,36;341,40;0,00;0,00;0,00;0;0
Iracema Portella;PI;PP;0,00;0,00;22500,00;60000,00;0,00;2086,49;355,51;0,00;0,00;0,0;0,00;74003,81;1750,00;0,00;0,00;0,00;0,00;0,00;0;0
Fábio Henrique;SE;UNIÃO;249,99;33284,23;115000,00;67736,00;0,00;1997,32;789,14;0,00;0,00;0,0;0,00;41450,31;77500,00;31348,81;0,00;0,00;0,00;0,00;0;0
Bacelar;BA;PV;46245,41;22703,42;65849,00;26000,00;0,00;5640,54;1597,54;0,00;0,00;0,0;0,00;0,00;88275,00;57372,92;0,00;0,00;0,00;0,00;0;0
Felipe Carreras;PE;PSB;1079,75;0,00;0,00;0,00;1096,69;115,93;352,35;0,00;9847,68;0,0;0,00;5124,16;0,00;151657,82;0,00;0,00;0,00;0,00;0;0
Arlindo Chinaglia;SP;PT;50156,29;13263,07;0,00;34380,00;5454,23;25860,81;175,13;1214,90;1870,31;0,0;7859,70;2080,72;15000,00;86275,59;229,60;209,16;2160,00;0,00;0;0
Celso Russomanno;SP;REPUBLICANOS;13645,65;32008,92;0,00;0,00;0,00;20350,41;349,11;1604,14;2324,73;0,0;1443,89;39989,92;0,00;57901,90;0,00;0,00;0,00;0,00;0;0
Gustavo Fruet;PR;PDT;21484,13;9691,49;0,00;214835,62;0,00;3458,08;395,35;0,00;6740,50;0,0;0,00;23960,65;47921,00;35359,65;856,45;0,00;0,00;0,00;0;0
Osmar Serraglio;PR;PP;41677,80;52773,57;61656,21;0,00;0,00;8001,38;481,78;8483,10;20315,75;0,0;697,49;0,00;102298,40;32394,72;0,00;0,00;0,00;0,00;0;0
Rubens Bueno;PR;CIDADANIA;22826,70;13317,52;24702,00;40658,60;608,96;9653,71;3689,68;3916,95;3743,74;0,0;0,00;121781,16;20232,21;0,00;0,00;0,00;0,00;0,00;0;0
Henrique Fontana;RS;PT;44101,96;42652,25;0,00;0,00;0,00;31459,43;73,50;745,89;12200,50;0,0;5691,04;527,80;51657,98;58543,45;0,00;0,00;0,00;0,00;0;0
Pompeo de Mattos;RS;PDT;31457,12;39027,37;36000,00;83921,43;0,00;6184,88;19364,94;120,00;4275,00;0,0;0,00;15866,74;85182,04;40369,53;0,00;0,00;0,00;0,00;0;0
Ivan Valente;SP;PSOL;40229,12;11298,47;0,00;72600,00;0,00;4849,99;1579,39;0,00;0,00;0,0;0,00;24199,35;20127,88;105681,36;0,00;0,00;0,00;0,00;0;0
Júlio Delgado;MG;PV;37771,88;38588,69;0,00;43915,00;0,00;11979,71;596,63;286,49;1921,10;0,0;1789,50;9861,71;58225,69;42274,48;247,99;0,00;0,00;0,00;0;0
Rui Falcão;SP;PT;65552,82;34524,72;0,00;47650,00;9779,72;3101,51;572,17;1133,30;0,00;0,0;0,00;873,48;38800,00;102108,74;0,00;0,00;0,00;0,00;0;0
Osmar Terra;RS;MDB;42313,24;40935,29;20000,00;48500,00;2633,23;9162,28;2284,11;8635,76;55964,36;0,0;560,10;4691,47;36379,93;80001,65;0,00;0,00;0,00;0,00;0;0
Angela Amin;SC;PP;63254,64;40552,28;3580,00;36000,00;6482,31;16753,59;4063,22;720,93;4199,80;0,0;0,00;3104,92;68400,00;86732,18;0,00;0,00;0,00;0,00;0;0
Benedita da Silva;RJ;PT;83562,66;18296,29;0,00;103400,00;0,00;7019,60;2405,09;835,24;0,00;0,0;12,18;0,00;7000,00;55948,56;0,00;0,00;0,00;0,00;0;0
Hermes Parcianello;PR;MDB;58827,10;31580,73;2500,00;118165,20;8487,84;6826,32;9804,56;107,40;4763,69;0,0;0,00;6743,00;39519,65;37010,25;0,00;0,00;0,00;0,00;0;0
Ricardo Barros;PR;PP;44823,14;34309,21;0,00;66500,00;0,00;12787,74;1070,40;0,00;0,00;0,0;0,00;2580,39;0,00;125848,86;0,00;0,00;0,00;0,00;0;0
Renildo Calheiros;PE;PCdoB;86160,14;26243,81;0,00;1000,00;0,00;7754,42;799,67;0,00;7225,62;0,0;0,00;0,00;58500,00;88390,88;0,00;0,00;0,00;0,00;0;0
Sérgio Brito;BA;PSD;43359,84;35234,11;60000,00;60600,00;0,00;3509,70;2388,93;1908,83;2309,45;0,0;28,60;101588,78;11089,18;22983,54;463,19;0,00;0,00;0,00;0;0
