Dummy_cor;Dummy_sexo;Dummy_EnsSuperior;Dummy_Classe;receita_proc_ln;reeleicao;resultado
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,07737112045288;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,67229652404785;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-7,52955341339111;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-4,23395872116089;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-5,26518964767456;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,27773714065552;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-7,87473154067993;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-2,59137392044067;Sim;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,34602856636047;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,18742227554321;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-4,43239927291870;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,98311328887939;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-4,02693462371826;Não;0
Branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-8,61885929107666;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-5,54106235504150;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,55436229705811;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-5,46792078018188;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-7,88068866729736;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-4,67691993713379;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-7,41659832000732;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,73835277557373;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,52014660835266;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,45676183700562;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-5,08020877838135;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,43488264083862;Não;1
